Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Koç Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",koçmak üniversite,koç üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",yıldız teknik üniversite,yıldız teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",orta doğu teknik üniversite,or dok teknik üniversites,sistem programlamak,siste programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Boğaziçi üniversite,boğaziç üniversites,veri taba Yönet sistem,ver taba yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Marmara Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Marmara üniversite,marmar üniversites,veri maden,ver madencilik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Ankara Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Ankara üniversite,ankar üniversites,programlamak dil,programla dil,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",orta doğu teknik üniversite,or dok teknik üniversites,programlamak dil,programla dil,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Hacettepe Üniversitesi,Genel Matematik,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,genel matematik,genel matematik,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
