Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Koç Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Marmara Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Ankara Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Hacettepe Üniversitesi,Genel Matematik,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Yapay Zeka,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Web Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
