Üniversite Adı,Ders Adı,Ders Tanımı
Koç Üniversitesi,Kriptografi Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Marmara Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Ankara Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Genel Matematik,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Yapay Zeka,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Hacettepe Üniversitesi,Web Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
