Üniversite Adı,Ders Adı,Ders Tanımı
koç üniversitesi,kriptografi ve veri güvenliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
yıldız teknik üniversitesi,mobil uygulama geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,sistem programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,mobil uygulama geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
marmara üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
ankara üniversitesi,programlama dilleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,programlama dilleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,programlama dilleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,genel matematik,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,yapay zeka,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,web programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,mobil uygulama geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
yıldız teknik üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,sistem programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,nesne tabanlı programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,siber güvenlik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,internet programcılığı,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
yıldız teknik üniversitesi,dijital oyun programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,içerik yönetim sistemleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,genel matematik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,bilgisayar mühendisliğine giriş,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,programlama dilleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,siber güvenlik,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
dokuz eylül üniversitesi,nesne tabanlı programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,internet programcılığı,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
yıldız teknik üniversitesi,genel matematik,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,nesne tabanlı programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
sabancı üniversitesi,nesne tabanlı programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
yıldız teknik üniversitesi,veri madenciliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
ankara üniversitesi,internet programcılığı,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,dijital oyun programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,veri madenciliği,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,siber güvenlik,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
sabancı üniversitesi,siber güvenlik,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,nesne tabanlı programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,veri bilimi,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
sabancı üniversitesi,nesne tabanlı yazılım geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul üniversitesi,veri bilimi,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
ankara üniversitesi,sistem programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul üniversitesi,kriptografi ve veri güvenliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
koç üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,veritabanı sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,mobil uygulama geliştirme,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul teknik üniversitesi,internet programcılığı,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
yıldız teknik üniversitesi,bilgisayar ağları,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
koç üniversitesi,dijital oyun programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,bilgisayar ağları,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,bilgisayar mühendisliğine giriş,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul üniversitesi,veritabanı sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
yıldız teknik üniversitesi,veri tabanı yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,bilgisayar mühendisliğine giriş,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,mobil uygulama geliştirme,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,siber güvenlik,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
